Strategy,Mean,Median,Std,low,high,Time(mus)
GA,2.52905e+08,1.67502e+08,2.0353e+08,4.17359e+07,7.68276e+08,264.98
DE1,1900.34,104.5,7110.6,26,42807,681.76
DE2,782047,790196,221985,350889,1.54090e+06,912.86
DE3,2.51927e+07,1728,1.11715e+08,25,7.58991e+08,712.58
DE4,2.08876e+06,858254,3.73367e+06,101758,2.18171e+07,1008.84
DE5,9.58863e+07,9.47195e+07,2.43273e+07,4.20972e+07,1.47739e+08,1292
DE6,2.14748e+09,2.14748e+09,0,2.14748e+09,2.14748e+09,1009.82
DE7,8.41088e+06,8.2488e+06,2.43292e+06,3.29429e+06,1.57714e+07,1399.94
DE8,1.89475e+09,2.14748e+09,6.47555e+08,223044,2.14748e+09,1093.4
DE9,6.87684e+08,4.69213e+07,9.61227e+08,483719,2.14748e+09,1565.5
DE10,1.00718e+09,9.56769e+08,2.33404e+08,5.17987e+08,1.50138e+09,2050.76
PSO,2.1131e+09,2.14748e+09,1.28e+08,1.40105e+09,2.14748e+09,1210.34
MFO,1.53612e+06,1.09448e+06,1.4897e+06,193907,8.20714e+06,1418.3
CS,3.78296e+08,2.93369e+08,2.18587e+08,1.69398e+08,8.37215e+08,410.8
WOA,23.9174,24.0866,1.10022,22.2508,26.9657,826.4
